textid,anger,disgust,fear,joy,sad,surprise
1,0.18733561576281932,0.0,0.27743450690188426,0.23698356545607985,0.217629911915835,0.08061639996338141
2,0.23768395261720215,0.0,0.3254980063872454,0.23629779951418456,0.11334002154596265,0.08718021993540524
3,0.17167163067782854,0.0,0.2132134048859182,0.2306413381941804,0.288581879020878,0.095891747221195
4,0.020189164140821173,0.0,0.19527182753791733,0.5900068330846351,0.03814636038667719,0.1563858148499493
5,0.07705192629815745,0.05237630940773519,0.19247981199529984,0.40176004400110005,0.09712742818570463,0.1792044801120028
6,0.055399318798160305,0.09394680002854192,0.3258470068469447,0.05776728659781723,0.24411670208298528,0.22292288564555057
7,0.0,0.0,0.0926,0.4444,0.0,0.46299999999999997
8,0.18722904906471727,0.0,0.25970979122296006,0.25788370209596817,0.13872088410821057,0.156456573508144
9,0.0,0.09824316787066166,0.0,0.2896020354290587,0.0,0.6121547967002797
10,0.0699017475436886,0.01740043501087527,0.3253081327033176,0.35418385459636487,0.07890197254931375,0.15430385759643991
11,0.0926208607570423,0.0,0.27492882514575495,0.38245281892519395,0.1589784666432474,0.09101902852876129
12,0.10884304091456579,0.0,0.36302518880401724,0.2835277003134706,0.14899448267710846,0.09560958729083784
13,0.0975234198622978,0.02138123790290483,0.3559309143930284,0.23884592803280522,0.17411352155387408,0.11220497825508974
14,0.12165,0.0,0.243525,0.21842499999999998,0.357425,0.05897499999999999
15,0.07892825816830863,0.10222440821778228,0.47574039572978444,0.057767501700653985,0.12890985553657472,0.15642958064689594
16,0.22429802071861077,0.01848116369760444,0.3648085739843108,0.22717379267533155,0.11012009672527079,0.055118352198871484
17,0.08122468953818246,0.0578301259164436,0.25453491113201027,0.4754666629876077,0.09797921199995584,0.03296439842580015
18,0.17565565502105152,0.02242237006881655,0.20018461529381115,0.26230966260923566,0.08338347113875094,0.2560442258683342
19,0.03231709627457357,0.0,0.2788718853561659,0.4406432937641081,0.1732290590418494,0.07493866556330302
20,0.029663709133357655,0.0,0.20941546439547684,0.4048636332478191,0.2254884269250675,0.1305687662982789
21,0.24552365169598234,0.041215697798021894,0.2495940376173509,0.23581670862970786,0.16453944657992428,0.06331045767901276
22,0.030175754393859847,0.0,0.21303032575814398,0.4509862746568664,0.22938073451836297,0.07642691067276683
23,0.029724962786869605,0.0,0.24842865631756447,0.227052425973993,0.3535814023665383,0.1412125525550348
24,0.1176,0.0,0.0588,0.0,0.1176,0.7059
25,0.07705192629815745,0.05237630940773519,0.1924798119952999,0.40176004400110005,0.09712742818570465,0.1792044801120028
26,0.236929943387014,0.0,0.32761813391713385,0.23517067881828238,0.11351686628333124,0.08676437759423863
27,0.14507862696567414,0.08732718317957948,0.3077826945673641,0.2041801045026125,0.1663291582289557,0.08930223255581388
28,0.08287707192679818,0.01740043501087527,0.35200880022000547,0.22690567264181605,0.13410335258381462,0.1867046676166904
29,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
30,0.01973865838262356,0.0,0.19091448603997335,0.653705572470681,0.03729515352696713,0.09834612957975505
31,0.020697097515764862,0.0,0.21875892185246773,0.5470663623610709,0.06828722198350809,0.14519039628718836
32,0.19764757578033137,0.0,0.31398588510144,0.23581670862970788,0.19533447898357453,0.057215351504946325
33,0.030894650895695906,0.0,0.21810548490656573,0.4617053054632984,0.23484542002320624,0.05444913871123363
34,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
35,0.1622065618990625,0.0,0.1888729533391256,0.4138824840495459,0.07766500683830357,0.15737299387396245
36,0.020486328540048556,0.0,0.19814603445959023,0.643286463309082,0.038707836839488724,0.09937333685179055
37,0.0734185169118877,0.021808086771000292,0.3135197763001815,0.2100949784629014,0.11274301442156755,0.2684156271324616
38,0.07191191525524905,0.01741275921636083,0.36141506818949637,0.38837012990060693,0.06506592919861638,0.09582419823967056
39,0.24437964205782164,0.03386959158981631,0.24548349297210875,0.28693048612522987,0.11189285262266802,0.07744393463235551
40,0.08064963445288256,0.09152694446556597,0.15359485746914062,0.24913469618196787,0.2905768932760433,0.1345169741543998
41,0.07705192629815745,0.05237630940773518,0.1924798119952999,0.4017600440011,0.09712742818570465,0.1792044801120028
42,0.05511165311361457,0.013081485100590026,0.533510784137762,0.24691919992554376,0.10500990371706158,0.04636697400542794
43,0.020147552253653084,0.0,0.19486935276491846,0.5833776804105034,0.03806773692147517,0.16353767764944974
44,0.15599180773100532,0.17542118498342674,0.2545659163202766,0.18712426853463196,0.1634221163341934,0.06347470609646601
45,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
46,0.020697097515764862,0.0,0.20018461529381112,0.6331544498640079,0.04847956173569765,0.09748427559071837
47,0.04312053124190713,0.0,0.31230416926788,0.44895181717959204,0.15122165423791403,0.04440182807270691
48,0.06990174754368862,0.06740168504212607,0.2903072576814421,0.2641816045401135,0.07890197254931375,0.22930573264331613
49,0.054703999475942,0.0,0.3908092897964812,0.23629779951418456,0.28516386179718367,0.033025049416208596
50,0.24507317417309007,0.041103793099029146,0.2510069288607396,0.23517644292497594,0.16450109742213007,0.06313856352003523
51,0.1224143419155588,0.06908545885493877,0.3147385801422157,0.14430104376371275,0.25833925377689887,0.09112132154667525
52,0.11901364308771453,0.007427934070802921,0.34753101778455137,0.14383173864276472,0.2080376900914629,0.17415797632270358
53,0.0,0.1882,0.0,0.1529,0.0,0.6588
54,0.019900497512437814,0.0,0.19247981199529993,0.5429135728393211,0.0376009400235006,0.20710517762944078
55,0.18349487112443216,0.0,0.21930151443436394,0.2504492977692016,0.2796883709466643,0.06706594572533792
56,0.019900995049752488,0.004375218760938046,0.19248462423121154,0.5138006900345017,0.0376018800940047,0.2318365918295915
57,0.030175754393859847,0.0,0.3797094927373184,0.21843046076151904,0.22938073451836297,0.14230355758893973
58,0.03017575439385985,0.0,0.21303032575814393,0.4509862746568664,0.22938073451836297,0.07642691067276682
59,0.07705192629815746,0.0523763094077352,0.19247981199529993,0.4017600440011,0.09712742818570466,0.17920448011200285
60,0.03017575439385985,0.0,0.21303032575814396,0.4509862746568664,0.22938073451836294,0.07642691067276683
61,0.11137499999999999,0.0,0.23534999999999998,0.270775,0.16565,0.21685
62,0.17550032116610095,0.0,0.20110611630427028,0.482569607241318,0.08349187844943408,0.05733207683887667
63,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
64,0.05684669588957939,0.03143822209060467,0.38122614282802714,0.2716674311905693,0.0995004219279754,0.15932108607324408
65,0.019900497512437814,0.0,0.19247981199529987,0.5249881247031176,0.03760094002350059,0.22503062576564417
66,0.04786356890209505,0.0,0.24174208640709122,0.2697547228509179,0.28514483514742645,0.15549478669246955
67,0.0,0.0,0.002547925701561659,0.7218732709600674,0.0,0.27557880333837087
68,0.020806965980427652,0.0,0.2012472752302921,0.6294738068971804,0.03931366436502914,0.10915828752707074
69,0.07091570720821105,0.017652836987451674,0.2945183090492656,0.38019820574724467,0.08004648496034122,0.15666845604748578
70,0.236929943387014,0.0,0.32761813391713385,0.23517067881828238,0.11351686628333124,0.08676437759423863
71,0.020792371551915722,0.0,0.20110611630427028,0.6321304760740062,0.04864441765604469,0.09732661841376315
72,0.020792371551915722,0.0,0.20110611630427028,0.6321304760740062,0.04864441765604469,0.09732661841376315
73,0.07509443642372839,0.017058725484660302,0.3327349609351024,0.26362730610564244,0.19330625931453138,0.11817831173633517
74,0.08156323038997851,0.046439697102718724,0.2874509964229339,0.44264793613299797,0.06881204164166473,0.07308609830970605
75,0.09923515207142102,0.007223835754510878,0.3926457113768504,0.3082169921924641,0.10691543274087273,0.08576287586388086
76,0.058745427968915374,0.022202876151880213,0.3003311444514302,0.2151673569750453,0.3454577617980268,0.05809543265470205
77,0.236929943387014,0.0,0.32761813391713385,0.23517067881828238,0.11351686628333124,0.08676437759423863
78,0.020147552253653087,0.0,0.19486935276491849,0.6908516637780845,0.03806773692147518,0.05606369428186874
79,0.030175754393859847,0.0,0.21303032575814396,0.45098627465686636,0.22938073451836294,0.07642691067276682
80,0.020374599927898873,0.0,0.19706538297097165,0.4432108618307485,0.26221781337988426,0.07713134189049668
81,0.030747308014229185,0.025013344770460477,0.09533762312118005,0.39207854261488984,0.2604652754973396,0.19635790598190078
82,0.03518218834257299,0.0037467859325707106,0.33472636834604574,0.23573667650603217,0.2689743119924107,0.12163366888036778
83,0.020159128981602072,0.0,0.23043707864773522,0.5474089024752297,0.038089610538102406,0.16390527935733057
84,0.2379400163233197,0.0,0.3247780049721306,0.23668057294861916,0.11327996456383968,0.08732144119209086
85,0.0366,0.0854,0.3902,0.0,0.1707,0.3171
86,0.0,0.0,0.6667,0.0,0.0,0.3333
87,0.1393981087599294,0.04657536191581629,0.4361344496971945,0.04268184205767257,0.2823349582435829,0.05287527932580443
88,0.01272020335643898,0.0,0.06048836586453063,0.5662712274225914,0.05411600965513924,0.30640419370129973
89,0.01990049751243781,0.0,0.19767994199854994,0.4926873171829295,0.04802620065501637,0.24170604265106627
90,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
91,0.01990049751243781,0.0,0.1924798119952999,0.42393559838995976,0.03760094002350059,0.326083152078802
92,0.21877967209666385,0.04922886144192184,0.3577733589121385,0.02716337486053492,0.2520230995750776,0.0950316331136633
93,0.25343910682104015,0.0,0.20110116374955705,0.3204656112307796,0.1676634532523961,0.057330664946227225
94,0.08066636849441372,0.075213282682672,0.46750175696707746,0.03959751188569876,0.16098059413465304,0.17604048583548507
95,0.09230169430994895,0.06622738207895788,0.45330359180349017,0.022592329981088493,0.2752693974199463,0.09030560440656826
96,0.020697097515764866,0.0,0.3249260074148291,0.4516294538943479,0.10824788151209205,0.09449955966296614
97,0.030175754393859847,0.0,0.21303032575814396,0.4509862746568664,0.22938073451836297,0.07642691067276682
98,0.23735824051264653,0.0,0.3264138455733438,0.23581091309522267,0.11341641380918936,0.08700058700959754
99,0.020425095524434826,0.0,0.2962408641075378,0.42445731034278383,0.05832442478271401,0.2005523052425296
100,0.07705192629815746,0.0523763094077352,0.19247981199529993,0.4017600440011,0.09712742818570466,0.17920448011200285
101,0.070543282221371,0.017560130338367026,0.2929715998406867,0.38200215943029153,0.0796261082584574,0.15729671991082653
102,0.013381337372561756,0.0,0.12942577441124742,0.6211703044086945,0.025283330914991055,0.2107392528925052
103,0.055399318798160305,0.09394680002854192,0.3258470068469447,0.05776728659781723,0.24411670208298528,0.22292288564555057
104,0.13960670946443948,0.06617097912151901,0.3758329378067105,0.19405561052209044,0.11380075294802344,0.11053301013721716
105,0.236929943387014,0.0,0.32761813391713385,0.23517067881828238,0.11351686628333124,0.08676437759423863
106,0.10912772819320485,0.032100802520063004,0.33933348333708346,0.22868071701792547,0.13935348383709592,0.15140378509462737
